Matrix Size,Sparsity,Partitions Number,Gauss-Seidel OMP Execution Time (ms)
10000,0.1,10000.0,112130.0
10000,0.2,2328.6,29032.2
10000,0.3,1694.4,23021.0
10000,0.4,1303.2,17813.0
10000,0.5,1010.2,16039.8
10000,0.6,768.8,11974.0
10000,0.7,563.6,9544.4
10000,0.8,376.4,6905.0
10000,0.9,202.2,4113.0
10000,0.91,184.6,3948.4
10000,0.92,167.0,3828.2
10000,0.93,149.2,3637.0
10000,0.94,130.8,3380.4
10000,0.95,113.8,3169.4
10000,0.96,94.6,2842.2
10000,0.97,76.0,2554.6
10000,0.98,56.0,2041.4
10000,0.99,34.0,1865.0
10000,0.999,9.0,1547.6
